"feature","category","Compound_Name"
92427,"blueberry, walnut, bay leaf, oregano","CHEBI:181603"
93619,"mushroom, blueberry, rosemary, apple, bay leaf, butter, Spenach, cranberry","Geranic_oxide"
93804,"anise, cardamom, oregano, banana","Spectral Match to Jasmine lactone from NIST14"
942,"sweet potato, sage, broccoli, raspberry, strawberry, cherry, spice, jicama, apricot","L-(-)-Asparagine - 40.0 eV"
94580,"betel nut leaf, grape_fermented, bean, lentil, anise, olive, legume, oregano, sesame, mint","""1-(2-hydroxy-4,6-dimethoxyphenyl)-2-methoxyethan-1-one CollisionEnergy:205060"""
94789,"blueberry, grape_fermented, anise, sesame seed, cranberry, oregano, garlic powder, avocado, eggplant, betel nut, ground cherry","lariciresinol 4-O-glucoside"
95869,"betel nut leaf, walnut, peanut, lentil, anise, olive, cardamom, bay leaf, legume, butter, Spenach","1421601-48-0"
95991,"tomato, walnut, ginger, oregano","[(2E,6E)-1-Oxo-8-hydroxy-2,6-dimethylocta-2,6-dien-1-yl]beta-D-glucopyranoside"
98222,"sweet potato, rice, grape_fermented, olive, cardamom, bay leaf, legume, hing powder, oregano","Loliolide"
98463,"rosemary, walnut, bay leaf, oregano, apricot, mint, borage flower, borage leaf, lemon balm","B08A23"
98832,"betel nut leaf, onion, peanut, ginger, lavender, tarragon","Ferulic acid"
999,"betel nut leaf, onion, pine nut, soda, grain_fermented, wheat, hing powder, sesame seed, banana, poppy seed, chia","Melezitose"
